Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/a_Sign Up for Free""))",Chrome 120.0.0.0,,,2024-01-06 03:28:52,2024-01-06 03:28:53,0.726s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/button_Sign up with Email""))",Chrome 120.0.0.0,,,2024-01-06 03:28:53,2024-01-06 03:28:55,2.440s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Name_name""), Name)",Chrome 120.0.0.0,,,2024-01-06 03:28:55,2024-01-06 03:28:57,1.516s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Email_email""), Email)",Chrome 120.0.0.0,,,2024-01-06 03:28:57,2024-01-06 03:28:58,1.046s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Password_pass""), Password)",Chrome 120.0.0.0,,,2024-01-06 03:28:58,2024-01-06 03:28:58,0.253s,FAILED
,,,,,,,
Test Cases/SignUp_TC08,Chrome 120.0.0.0,Sign Up Process,,2024-01-06 03:28:58,2024-01-06 03:29:38,39.811s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-06 03:28:58,2024-01-06 03:29:02,3.346s,PASSED
"navigateToUrl(""https://www.jotform.com/"")",Chrome 120.0.0.0,,,2024-01-06 03:29:02,2024-01-06 03:29:04,2.056s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/a_Sign Up for Free""))",Chrome 120.0.0.0,,,2024-01-06 03:29:04,2024-01-06 03:29:05,0.706s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/button_Sign up with Email""))",Chrome 120.0.0.0,,,2024-01-06 03:29:05,2024-01-06 03:29:07,2.223s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Password_pass""), ""fONgkG3v+Sp93oeYq6SWWQ=="")",Chrome 120.0.0.0,,,2024-01-06 03:29:07,2024-01-06 03:29:08,0.969s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/svg_Password_forHide""))",Chrome 120.0.0.0,,,2024-01-06 03:29:08,2024-01-06 03:29:38,29.939s,FAILED
,,,,,,,
